objectid,treelatitude,treelongitude,centerlatitude,centerlongitude,dbh,species,creationdate,roadsidebydate,roadsidebycoord,isatcorrectsideofroad,truetreelongitude,truetreelatitude
139,467189.0633819354,258578.76658527245,467189.17111956823,258579.42864403856,15,1,11/21/2021 12:06,S/E,N/W,False,258580.98120371878,467189.423769504
140,467185.72855531203,258581.62020910432,467185.4221079633,258579.70461618903,13,1,11/21/2021 12:07,S/E,S/E,True,258583.80369565077,467186.07785899646
141,467180.6801327409,258582.57051837904,467180.2817968641,258580.08300510395,15,1,11/21/2021 12:08,S/E,S/E,True,258584.7860419036,467181.03491376434
142,467179.57551443786,258582.5424154024,467179.1945641865,258580.16303861464,12,1,11/21/2021 12:09,S/E,S/E,True,258584.70981205613,467179.9225255982
143,467174.38637128856,258581.67667937576,467174.12157216767,258580.59415316017,18,1,11/21/2021 12:10,S/E,S/E,True,258583.9035254021,467174.9310849977
144,467162.70058718615,258582.98297571318,467162.39771734166,258581.9112235973,13,1,11/21/2021 12:11,S/E,S/E,True,258585.11089101803,467163.3019215506
145,467155.07588553865,258583.25050008908,467154.9505598763,258582.80407584156,13,1,11/21/2021 12:12,S/E,S/E,True,258585.3794490483,467155.67355006956
146,467152.72463158634,258588.58932984137,467152.20670724055,258583.0633292783,12,1,11/21/2021 12:13,S/E,S/E,True,258590.77475204645,467152.92946025997
147,467143.59573017183,258587.76535648585,467143.19643021206,258583.50004687303,15,1,11/21/2021 12:15,S/E,S/E,True,258589.99933864223,467143.80486598285
148,467137.12854049134,258583.34047414782,467137.17235638906,258583.7920271375,13,1,11/21/2021 12:16,S/E,N/W,False,258585.54138701377,467137.34210340696
149,467133.2869579124,258586.59979980957,467132.7477927513,258584.06377499894,13,1,11/21/2021 12:18,S/E,S/E,True,258588.76270849217,467133.7467976598
150,467126.37873582996,258587.1191133298,467125.8658132068,258584.70615198524,12,1,11/21/2021 12:19,S/E,S/E,True,258589.2661415487,467126.83512911136
151,467115.1772721439,258588.243038519,467114.6110222239,258585.77313440447,17,1,11/21/2021 12:21,S/E,S/E,True,258590.46172792107,467115.68592860916
152,467108.94007439667,258587.42744117585,467108.69663825334,258586.36225350254,15,1,11/21/2021 12:22,S/E,S/E,True,258589.61479570606,467109.4399686071
153,467103.29985798226,258587.4856518537,467103.16956965916,258586.91279391982,14,1,11/21/2021 12:23,S/E,S/E,True,258589.65768378295,467103.79385550076
154,467097.6992907639,258589.65246221825,467097.35149381624,258587.48135841815,12,1,11/21/2021 12:25,S/E,S/E,True,258591.81982890397,467098.0464890497
155,467091.2543472163,258590.93147071975,467090.7787345301,258587.9655004388,15,1,11/21/2021 12:26,S/E,S/E,True,258593.1469172805,467091.6096085271
156,467084.9297482826,258590.19438564888,467084.64534066274,258588.4172800848,8,1,11/21/2021 12:27,S/E,S/E,True,258592.29762113403,467085.26634966995
157,467079.4221706854,258590.5285401072,467079.7824968981,258588.59504521766,19,0,11/21/2021 12:28,S/E,S/E,True,258592.79821353607,467078.9991942218
158,467070.2115016072,258589.77805498464,467070.53102370433,258588.0644546586,14,1,11/21/2021 12:29,S/E,S/E,True,258591.96781321414,467069.8031939458
159,467065.8935298039,258589.7840343124,467066.2595790483,258587.81947778148,11,1,11/21/2021 12:30,S/E,S/E,True,258591.92592093,467065.4944392378
160,467060.71446109493,258589.27491587357,467062.4160312564,258586.91264391923,15,1,11/21/2021 12:31,S/E,S/E,True,258591.0955276407,467059.403054653
161,467053.46716045734,258587.78479425807,467055.4147121048,258585.08067821246,14,1,11/21/2021 12:33,S/E,S/E,True,258589.59230058422,467052.16536280373
162,467050.4354408417,258586.822121118,467050.9534519181,258584.06958240975,21,0,11/21/2021 12:34,S/E,S/E,True,258589.1229809069,467050.0024329962
163,467035.6538750283,258584.91577622545,467038.0372321626,258583.3186747825,25,0,11/21/2021 12:36,S/E,S/E,True,258586.25527916252,467033.6549325719
164,467027.39228199515,258580.10285806123,467029.8075609872,258578.53572189226,18,1,11/21/2021 12:37,S/E,S/E,True,258581.3506788446,467025.46913365385
165,467022.23696171335,258579.0792386352,467025.1346093988,258576.13643370033,15,1,11/21/2021 12:38,S/E,S/E,True,258580.67802874642,467020.6627049863
166,467016.83713005926,258565.5532724019,467008.5292581638,258569.5217271898,16,1,11/21/2021 12:39,S/E,N/W,False,258566.5273877838,467014.797841158
167,467011.7278706256,258571.1516477515,467011.65221489326,258571.23016736144,15,1,11/21/2021 12:40,S/E,N/W,False,258572.7674111379,467010.17103963235
168,467006.12977335823,258568.3219901479,467006.69513558917,258568.0528808601,18,1,11/21/2021 12:41,S/E,S/E,True,258569.307282115,467004.05980814365
169,467002.49900287366,258565.7422805956,467003.32089861867,258565.3506391095,14,1,11/21/2021 12:43,S/E,S/E,True,258566.7004812591,467000.4881304912
170,466997.83548132546,258562.52762604613,466999.06423287623,258561.94170137972,17,1,11/21/2021 12:44,S/E,S/E,True,258563.50735930007,466995.78086778184
171,466991.7833460182,258558.42070755357,466993.3057377076,258557.51590664955,14,1,11/21/2021 12:47,S/E,S/E,True,258559.55875165382,466989.8685061095
172,466985.6284912117,258554.61531016088,466987.2425296076,258553.65594019069,14,1,11/21/2021 12:48,S/E,S/E,True,258555.75344263567,466983.7137038293
173,466984.80043067026,258550.83159733523,466983.77040557977,258551.4455073682,13,1,11/21/2021 12:50,S/E,N/W,False,258551.9637049636,466982.90096788295
174,466978.7996977656,258547.26787679203,466977.97793207265,258547.757878966,14,1,11/21/2021 12:52,S/E,N/W,False,258548.40867815647,466976.88649926655
175,466974.75805157126,258543.93252927184,466974.6552724952,258543.95866883622,13,1,11/21/2021 12:53,S/E,N/W,False,258544.47756052957,466972.6150239255
176,466969.97944535804,258538.56315134396,466970.9891537797,258538.23625171394,12,1,11/21/2021 12:55,S/E,S/E,True,258539.2392460813,466967.8911635509
177,466964.85219518235,258535.36292622623,466967.8007263434,258534.40700261743,14,1,11/21/2021 12:56,S/E,S/E,True,258536.04988845205,466962.7332711275
178,466962.7145912405,258530.8985324377,466964.4194151352,258530.3460939459,14,1,11/21/2021 12:57,S/E,S/E,True,258531.5851897569,466960.59556835814
